ID,Name,Team,Pos,Price,18_pts_no_prob,18_prob,18_with_prob,19_pts_no_prob,19_prob,19_with_prob,20_pts_no_prob,20_prob,20_with_prob,21_pts_no_prob,21_prob,21_with_prob,22_pts_no_prob,22_prob,22_with_prob,23_pts_no_prob,23_prob,23_with_prob,24_pts_no_prob,24_prob,24_with_prob,25_pts_no_prob,25_prob,25_with_prob
117,Buonanotte,LEI,MID,4.9,2.06995,0.83473,1.72785,2.07215,0.83473,1.72969,2.26698,0.83473,1.89232,2.25719,0.83473,1.88415,2.19199,0.83473,1.82973,2.5066,0.83473,2.09234,2.21752,0.83473,1.85104,1.98642,0.83473,1.65813
118,Cozier-Duberry,BHA,MID,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Dahoud,BHA,MID,4.9,2.08798,0,0.00822,2.11413,0,0.00833,1.84414,0,0.00726,1.86576,0,0.00735,2.04417,0,0.00805,2.24288,0,0.00883,2.08187,0,0.0082,2.08304,0,0.0082
120,Dunk,BHA,DEF,4.4,2.52559,0.90893,2.29558,2.89362,0.90893,2.63009,2.5945,0.90893,2.35821,2.51209,0.90893,2.28331,2.77868,0.90893,2.52562,2.4387,0.90893,2.2166,2.65155,0.90893,2.41007,2.61926,0.90893,2.38072
121,Enciso,BHA,MID,5.4,1.76252,0.51189,0.90221,1.61975,0.51189,0.82913,1.51084,0.51189,0.77338,1.68621,0.51189,0.86315,1.68861,0.51189,0.86438,1.72649,0.51189,0.88377,1.62216,0.51189,0.83036,1.57515,0.51189,0.8063
122,Estupiñan,BHA,DEF,5.1,2.93949,0.93441,2.74667,3.07628,0.93441,2.87449,2.84201,0.93441,2.65559,2.77214,0.93441,2.5903,3.00544,0.93441,2.8083,2.86562,0.93441,2.67765,2.86147,0.93441,2.67377,2.93266,0.93441,2.74029
123,Ferguson,BHA,FWD,5.5,1.99177,0.88849,1.76966,1.76273,0.88849,1.56617,1.69489,0.88849,1.50589,1.99284,0.88849,1.77062,1.91706,0.88849,1.70329,2.0594,0.88849,1.82975,1.87838,0.88849,1.66892,1.74239,0.88849,1.5481
124,Gilmour,BHA,MID,5,2.04678,0,1.90472,2.08303,0,1.93845,1.85035,0,1.72192,1.8159,0,1.68986,2.02636,0,1.88571,2.18937,0,2.03741,2.05367,0,1.91112,2.02888,0,1.88806
125,Gross,BHA,MID,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Hinshelwood,BHA,MID,4.9,2.57862,0.06859,0.17686,2.29166,0.26577,0.60906,2.35352,0.54869,1.29134,2.34414,0.72757,1.70552,2.36706,0.79833,1.88971,2.57404,0.82565,2.12525,2.31087,0.82565,1.90796,2.41669,0.82565,1.99533
127,I.Osman,BHA,MID,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Igor,BHA,DEF,4.4,2.32149,0.57879,1.34367,2.66042,0.57879,1.53983,2.40453,0.57879,1.39173,2.25812,0.57879,1.30699,2.53377,0.57879,1.46653,2.23255,0.57879,1.29219,2.41122,0.57879,1.3956,2.42578,0.57879,1.40403
129,"João Pedro",BHA,FWD,5.9,3.09053,0.90522,2.79761,2.50582,0.90522,2.26832,2.65075,0.90522,2.39951,2.77533,0.90522,2.51228,2.68412,0.90522,2.42972,3.15602,0.90522,2.85689,2.63753,0.90522,2.38754,2.71065,0.90522,2.45374
130,Kozlowski,BHA,MID,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Lamptey,BHA,DEF,4.4,2.17276,0.80377,1.74639,2.52747,0.80377,2.03149,2.2148,0.80377,1.78018,2.15308,0.80377,1.73057,2.41269,0.80377,1.93924,2.07678,0.80377,1.66924,2.28208,0.80377,1.83425,2.26533,0.80377,1.82079
132,March,BHA,MID,6.5,3.12813,0.6912,2.16217,2.80084,0.90285,2.52873,2.65209,0.93067,2.46821,3.01793,0.93395,2.8186,2.92183,0.93395,2.72886,3.09297,0.93395,2.88869,2.80612,0.93395,2.62079,2.90816,0.93395,2.71609
133,Mazilu,BHA,MID,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Milner,BHA,MID,5,2.10331,0.07748,0.16296,1.97065,0.30023,0.59164,1.87489,0.61982,1.1621,2.05126,0.79997,1.64095,2.05289,0.8497,1.74434,2.09634,0.86577,1.81495,1.98605,0.86577,1.71946,1.94529,0.86577,1.68417
135,Minteh,BHA,MID,5.1,2.18942,0.83838,1.83557,2.01564,0.83838,1.68988,1.88412,0.83838,1.57962,2.16667,0.83838,1.8165,2.12455,0.83838,1.78119,2.19788,0.83838,1.84267,2.03584,0.83838,1.70682,2.03586,0.83838,1.70684
136,Mitoma,BHA,MID,6.5,3.35783,0.94101,3.15975,2.80775,0.94101,2.64211,2.81008,0.94101,2.64431,2.966,0.94101,2.79103,2.89202,0.94101,2.72142,3.26019,0.94101,3.06787,2.78738,0.94101,2.62295,3.07496,0.94101,2.89356
137,Moder,BHA,MID,4.4,1.66525,0.10287,0.17131,1.50556,0.10287,0.15488,1.49471,0.10287,0.15376,1.52693,0.10287,0.15708,1.57191,0.10287,0.16171,1.66537,0.10287,0.17132,1.52675,0.10287,0.15706,1.52057,0.10287,0.15642
138,O’Mahony,BHA,FWD,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Offiah,BHA,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Peupion,BHA,MID,4.4,1.87374,3.0E-5,6.0E-5,1.72564,3.0E-5,5.0E-5,1.67026,3.0E-5,5.0E-5,1.77804,3.0E-5,6.0E-5,1.80032,3.0E-5,6.0E-5,1.86979,3.0E-5,6.0E-5,1.74382,3.0E-5,5.0E-5,1.72156,3.0E-5,5.0E-5
141,Sarmiento,BHA,MID,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Steele,BHA,GK,4.2,3.19144,0.06016,0.192,4.56198,0.06016,0.27445,3.37218,0.06016,0.20287,3.49902,0.06016,0.2105,4.49221,0.06016,0.27025,3.07763,0.06016,0.18515,3.96094,0.06016,0.23829,3.50301,0.06016,0.21074
143,Undav,BHA,FWD,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,"Van Hecke",BHA,DEF,4.5,2.57872,0.9285,2.39434,2.99638,0.9285,2.78214,2.63514,0.9285,2.44672,2.62805,0.9285,2.44015,2.89843,0.9285,2.69119,2.49179,0.9285,2.31363,2.77306,0.9285,2.57478,2.65655,0.9285,2.4666
145,Veltman,BHA,DEF,4.5,2.41756,0.81984,1.98201,2.75139,0.81984,2.2557,2.47927,0.81984,2.0326,2.36357,0.81984,1.93774,2.63669,0.81984,2.16166,2.33073,0.81984,1.91082,2.5128,0.81984,2.06009,2.49623,0.81984,2.0465
146,Verbruggen,BHA,GK,4.5,3.24428,0.94937,3.08002,4.47535,0.94937,4.24877,3.43112,0.94937,3.2574,3.4124,0.94937,3.23963,4.40558,0.94937,4.18253,3.13123,0.94937,2.9727,3.87431,0.94937,3.67816,3.55721,0.94937,3.37711
147,Webster,BHA,DEF,4.3,2.21954,0.11,0.24415,2.61504,0.1461,0.38205,2.33068,0.16328,0.38056,2.20177,0.17188,0.37843,2.47977,0.17188,0.42621,2.1251,0.17188,0.36525,2.35846,0.17188,0.40536,2.34842,0.17188,0.40364
148,Welbeck,BHA,FWD,5.7,2.80121,0.05242,0.14683,2.31634,0.20311,0.47048,2.40798,0.41933,1.00974,2.56494,0.55693,1.42848,2.48388,0.62245,1.54608,2.87256,0.65521,1.88212,2.44245,0.65521,1.60031,2.45504,0.65521,1.60856
149,Wieffer,BHA,MID,4.7,1.70372,0.60098,1.0239,1.56049,0.78293,1.22176,1.50654,0.83739,1.26156,1.60229,0.85613,1.37178,1.62903,0.85613,1.39466,1.69279,0.85613,1.44926,1.57475,0.85613,1.34819,1.5455,0.85613,1.32316
150,"Andrey Santos",CHE,MID,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Ângelo,CHE,MID,4.5,1.89946,0,0.01584,1.64567,0,0.01372,1.83371,0,0.01529,1.88885,0,0.01575,1.93818,0,0.01616,1.64,0,0.01368,1.94581,0,0.01623,1.74505,0,0.01455
152,Arrizabalaga,BOU,GK,4.5,3.33584,0.94904,3.16583,4.08878,0.94904,3.8804,3.13087,0.94904,2.97131,4.3894,0.94904,4.1657,4.3524,0.94904,4.13059,3.31174,0.94904,3.14296,3.79497,0.94904,3.60156,4.40741,0.94904,4.18279
153,B.Badiashile,CHE,DEF,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Bergström,CHE,GK,3.9,3.39977,0.002,0.0068,3.13103,0.002,0.00626,3.72301,0.002,0.00745,3.42917,0.002,0.00686,3.28991,0.002,0.00658,4.4061,0.002,0.00881,3.30544,0.002,0.00661,3.93413,0.002,0.00787
155,Bettinelli,CHE,GK,3.9,3.39977,0.002,0.0068,3.13103,0.002,0.00626,3.72301,0.002,0.00745,3.42917,0.002,0.00686,3.28991,0.002,0.00658,4.4061,0.002,0.00881,3.30544,0.002,0.00661,3.93413,0.002,0.00787
156,Broja,EVE,FWD,5.4,1.30533,0.85218,1.11238,1.64813,0.85218,1.4045,1.4896,0.85218,1.26941,1.54068,0.85218,1.31293,1.47551,0.85218,1.2574,1.54507,0.85218,1.31668,1.78755,0.85218,1.52331,1.64098,0.85218,1.39841
157,Caicedo,CHE,MID,4.9,2.61899,0.94122,2.46505,2.74257,0.94122,2.58137,2.78364,0.94122,2.62002,2.71478,0.94122,2.55521,2.74494,0.94122,2.58359,2.57184,0.94122,2.42067,2.75745,0.94122,2.59538,2.69947,0.94122,2.5408
158,Casadei,CHE,MID,4.4,1.61469,0.01344,0.0217,1.6005,0.01344,0.02151,1.68615,0.01344,0.02266,1.69494,0.01344,0.02277,1.70244,0.01344,0.02288,1.52727,0.01344,0.02052,1.70652,0.01344,0.02293,1.60703,0.01344,0.02159
159,Chalobah,CRY,DEF,4.4,2.82323,0.74828,2.11256,2.61906,0.74828,1.95978,2.78441,0.74828,2.08351,2.87052,0.74828,2.14795,2.94548,0.74828,2.20404,2.73244,0.74828,2.04462,2.92813,0.74828,2.19106,2.6521,0.74828,1.98451
160,Chilwell,CHE,DEF,4.7,2.62885,0.00148,0.00389,2.60728,0.00148,0.00386,2.84211,0.00148,0.00421,2.75377,0.00148,0.00408,2.75669,0.00148,0.00408,3.0101,0.00148,0.00446,2.75215,0.00148,0.00408,2.79208,0.00148,0.00414
161,Chukwuemeka,CHE,MID,4.8,1.9676,0.00224,0.00441,1.95389,0.00224,0.00438,2.0107,0.00224,0.0045,2.06654,0.00224,0.00463,2.09596,0.00224,0.00469,1.82165,0.00224,0.00408,2.1081,0.00224,0.00472,1.92977,0.00224,0.00432
162,Colwill,CHE,DEF,4.6,2.6398,0.86673,2.28799,2.6676,0.86673,2.31208,2.92697,0.86673,2.53688,2.73933,0.86673,2.37425,2.71978,0.86673,2.35731,3.14035,0.86673,2.72183,2.70627,0.86673,2.3456,2.88421,0.86673,2.49983
163,Cucurella,CHE,DEF,5.2,2.32685,0.76248,1.77416,2.26483,0.76248,1.72688,2.50774,0.76248,1.91209,2.43496,0.76248,1.8566,2.42513,0.76248,1.8491,2.72389,0.76248,2.0769,2.41547,0.76248,1.84174,2.47006,0.76248,1.88336
164,D.D.Fofana,CHE,FWD,5.4,2.4953,0,0.90738,2.11906,0,0.77056,2.23962,0,0.8144,2.45056,0,0.89111,2.55873,0,0.93044,1.86867,0,0.67952,2.50248,0,0.90999,2.18446,0,0.79435
165,Deivid,CHE,FWD,4.9,1.70547,0.0007,0.0012,1.81048,0.0007,0.00127,1.80977,0.0007,0.00127,1.77335,0.0007,0.00124,1.79837,0.0007,0.00126,1.48835,0.0007,0.00104,1.81309,0.0007,0.00127,1.71454,0.0007,0.0012
166,Dewsbury-Hall,CHE,MID,5.5,2.10089,0.19441,0.40843,2.03041,0.19441,0.39473,2.06131,0.19441,0.40074,2.23447,0.19441,0.4344,2.29382,0.19441,0.44594,1.84532,0.19441,0.35875,2.31697,0.19441,0.45044,1.9788,0.19441,0.3847
167,Disasi,CHE,DEF,4.2,2.40851,0.34492,0.83074,2.38504,0.34492,0.82265,2.63362,0.34492,0.90839,2.50516,0.34492,0.86408,2.48815,0.34492,0.85821,2.88553,0.34492,0.99528,2.47501,0.34492,0.85368,2.60485,0.34492,0.89847
168,Enzo,CHE,MID,5.1,3.08343,0.93427,2.88075,3.46274,0.93427,3.23512,3.45587,0.93427,3.22871,3.2498,0.93427,3.03619,3.32655,0.93427,3.10788,3.16529,0.93427,2.95723,3.3563,0.93427,3.13568,3.37558,0.93427,3.1537
169,Gallagher,CHE,MID,5.9,2.94737,0,2.32024,2.49671,0,1.96547,2.63533,0,2.07459,2.91402,0,2.29398,2.99001,0,2.3538,2.39101,0,1.88226,3.09425,0,2.43587,2.56085,0,2.01596
170,Gilchrist,CHE,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Gusto,CHE,DEF,4.9,2.41418,0.93783,2.2641,2.50651,0.93783,2.35069,2.74256,0.93783,2.57207,2.52203,0.93783,2.36525,2.51976,0.93783,2.36312,2.91334,0.93783,2.73223,2.51263,0.93783,2.35643,2.69159,0.93783,2.52426
172,James,CHE,DEF,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Kellyman,CHE,MID,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,Lavia,CHE,MID,4.5,1.76639,0.18518,0.3271,1.7106,0.38231,0.65397,1.79801,0.50775,0.91294,1.85452,0.56748,1.05241,1.8689,0.59735,1.11639,1.63991,0.59735,0.9796,1.8755,0.59735,1.12033,1.71895,0.59735,1.02682
175,Lukaku,CHE,FWD,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,M.Sarr,CHE,DEF,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Madueke,CHE,MID,6.3,2.61862,0.93786,2.4559,2.75124,0.93786,2.58028,2.6999,0.93786,2.53213,2.6283,0.93786,2.46498,2.71566,0.93786,2.54691,2.38685,0.93786,2.23853,2.74906,0.93786,2.57823,2.59951,0.93786,2.43798
178,"Marc Guiu",CHE,FWD,4.7,1.69217,0.00476,0.00805,1.80129,0.00476,0.00857,1.80072,0.00476,0.00857,1.75989,0.00476,0.00837,1.78471,0.00476,0.00849,1.47946,0.00476,0.00704,1.79937,0.00476,0.00856,1.7055,0.00476,0.00811
179,Mudryk,CHE,MID,6.2,2.02015,0.37821,0.76405,1.89378,0.37821,0.71625,1.95456,0.37821,0.73924,2.13418,0.37821,0.80717,2.18209,0.37821,0.82529,1.77113,0.37821,0.66986,2.20096,0.37821,0.83243,1.87431,0.37821,0.70889
180,N.Jackson,CHE,FWD,8.3,3.21201,0.87361,2.80604,2.97206,0.87361,2.59642,2.94099,0.87361,2.56927,3.20984,0.87361,2.80415,3.24939,0.87361,2.8387,2.49662,0.87361,2.18107,3.27203,0.87361,2.85847,2.78636,0.87361,2.43419
181,Nkunku,CHE,MID,5.8,1.89038,0.91545,1.73054,2.024,0.91545,1.85286,2.0234,0.91545,1.85231,1.96648,0.91545,1.8002,2.02094,0.91545,1.85006,1.76828,0.91545,1.61876,2.04225,0.91545,1.86957,1.94421,0.91545,1.77982
182,Palmer,CHE,MID,11.3,5.95017,0.94069,5.59725,5.59567,0.94069,5.26378,5.10854,0.94069,4.80554,6.13756,0.94069,5.77353,6.53161,0.94069,6.14421,4.45808,0.94069,4.19366,6.6783,0.94069,6.28219,5.03684,0.94069,4.7381
183,Petrović,CHE,GK,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,"Renato Veiga",CHE,MID,4.5,1.4202,0.30052,0.4268,1.40658,0.30052,0.42271,1.49946,0.30052,0.45062,1.50455,0.30052,0.45215,1.50826,0.30052,0.45326,1.34601,0.30052,0.40451,1.51095,0.30052,0.45407,1.42062,0.30052,0.42693
185,Sánchez,CHE,GK,4.8,3.39858,0.94872,3.22431,3.73965,0.94872,3.54789,4.33062,0.94872,4.10856,3.42844,0.94872,3.25264,3.28974,0.94872,3.12105,5.01271,0.94872,4.75567,3.30548,0.94872,3.13598,4.5417,0.94872,4.30881
186,Sterling,ARS,MID,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Tosin,CHE,DEF,4.2,2.28862,0.55585,1.27213,2.29303,0.55585,1.27458,2.55471,0.55585,1.42004,2.37292,0.55585,1.31899,2.3453,0.55585,1.30363,2.83363,0.55585,1.57507,2.32777,0.55585,1.29389,2.531,0.55585,1.40686
188,Ugochukwu,SOU,MID,4.5,1.38108,0.46393,0.64073,1.39075,0.46393,0.64521,1.38584,0.46393,0.64294,1.33605,0.46393,0.61984,1.29054,0.46393,0.59872,1.34294,0.46393,0.62304,1.29178,0.46393,0.5993,1.37609,0.46393,0.63841
189,W.Fofana,CHE,DEF,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Ahamada,CRY,MID,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,Andersen,FUL,DEF,4.2,3.20353,0.82455,2.64148,3.0875,0.82455,2.5458,2.95997,0.82455,2.44065,3.14629,0.82455,2.59428,3.09674,0.82455,2.55343,2.92832,0.82455,2.41455,3.22576,0.82455,2.65981,3.06189,0.82455,2.52469
192,J.Ayew,LEI,MID,5.2,1.81271,0.82591,1.49713,1.88401,0.82591,1.55602,1.92108,0.82591,1.58664,2.02915,0.82591,1.67589,1.9632,0.82591,1.62143,2.06744,0.82591,1.70752,1.95727,0.82591,1.61653,1.83307,0.82591,1.51395
193,C.Doucouré,CRY,MID,4.9,1.58419,0.74791,1.18483,1.72986,0.74791,1.29377,1.57418,0.74791,1.17734,1.78591,0.74791,1.33569,1.7185,0.74791,1.28528,1.72221,0.74791,1.28805,1.65111,0.74791,1.23488,1.72235,0.74791,1.28815
194,C.Richards,CRY,DEF,4.4,2.39822,0.49087,1.17722,2.15112,0.49087,1.05593,2.41989,0.49087,1.18786,2.34666,0.49087,1.15191,2.46481,0.49087,1.20991,2.28603,0.49087,1.12215,2.48054,0.49087,1.21763,2.19332,0.49087,1.07664
195,"Chadi Riad",CRY,DEF,4.3,2.62137,0.36123,0.94691,2.37596,0.47975,1.13987,2.60727,0.53619,1.398,2.63416,0.56442,1.48676,2.73422,0.56442,1.54324,2.50995,0.56442,1.41666,2.72644,0.56442,1.53884,2.41506,0.56442,1.3631
196,Clyne,CRY,DEF,4.3,2.43696,0.58671,1.42979,2.05188,0.58671,1.20386,2.34379,0.58671,1.37513,2.41842,0.58671,1.41891,2.52645,0.58671,1.4823,2.19715,0.58671,1.28909,2.53243,0.58671,1.4858,2.09932,0.58671,1.23169
197,Ebiowei,CRY,MID,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,Edouard,LEI,FWD,5.1,1.47906,0.12444,0.18406,1.59732,0.12444,0.19878,1.63223,0.12444,0.20312,1.83139,0.12444,0.2279,1.73807,0.12444,0.21629,1.77569,0.12444,0.22097,1.80139,0.12444,0.22417,1.54718,0.12444,0.19254
199,Eze,CRY,MID,6.6,2.79851,0.64,1.79105,3.08162,0.85371,2.63082,2.91726,0.91293,2.66324,3.17207,0.93761,2.97417,3.10996,0.93761,2.91593,3.141,0.93761,2.94504,2.98382,0.93761,2.79767,3.10402,0.93761,2.91036
200,Guéhi,CRY,DEF,4.5,2.71777,0.94067,2.55652,2.39343,0.94067,2.25143,2.58946,0.94067,2.43582,2.76729,0.94067,2.60311,2.83962,0.94067,2.67114,2.51357,0.94067,2.36444,2.82192,0.94067,2.65449,2.42971,0.94067,2.28555
201,Henderson,CRY,GK,4.4,4.38351,0.94941,4.16173,2.86344,0.94941,2.71857,3.49063,0.94941,3.31403,3.79537,0.94941,3.60335,4.10132,0.94941,3.89382,3.17764,0.94941,3.01687,4.44835,0.94941,4.22329,3.06464,0.94941,2.90958
202,Holding,CRY,DEF,4.3,2.61707,0.00032,0.00084,2.38172,0.00032,0.00076,2.60683,0.00032,0.00083,2.63426,0.00032,0.00084,2.73285,0.00032,0.00087,2.51457,0.00032,0.0008,2.7235,0.00032,0.00087,2.42023,0.00032,0.00077
203,Hughes,CRY,MID,4.9,2.08232,0.93701,1.95114,2.45538,0.93701,2.30071,2.26186,0.93701,2.11938,2.27497,0.93701,2.13166,2.20805,0.93701,2.06896,2.44183,0.93701,2.28801,2.13214,0.93701,1.99783,2.43175,0.93701,2.27856
204,Johnstone,WOL,GK,4.3,3.23195,0.1,0.3232,4.12826,0.1,0.41283,3.18641,0.1,0.31864,4.15809,0.1,0.41581,4.19487,0.1,0.41949,3.30551,0.1,0.33055,3.12009,0.1,0.31201,4.7569,0.1,0.47569
205,Kamada,CRY,MID,5.1,1.83904,0.79779,1.46717,1.95469,0.79779,1.55943,1.77575,0.79779,1.41667,2.05975,0.79779,1.64325,1.99521,0.79779,1.59176,1.93154,0.79779,1.54096,1.90095,0.79779,1.51656,1.92059,0.79779,1.53223
206,Lerma,CRY,MID,4.8,2.02997,0.92319,1.87405,2.23177,0.92319,2.06035,2.06992,0.92319,1.91093,2.23839,0.92319,2.06646,2.17197,0.92319,2.00514,2.22661,0.92319,2.05559,2.0968,0.92319,1.93574,2.22336,0.92319,2.05259
207,Mateta,CRY,FWD,7.2,2.5308,0.94123,2.38207,3.10059,0.94123,2.91838,2.64269,0.94123,2.48739,2.90877,0.94123,2.73783,2.76553,0.94123,2.60301,3.01367,0.94123,2.83656,2.64433,0.94123,2.48893,3.0746,0.94123,2.89391
208,M.França,CRY,MID,4.4,1.67251,0.01,0.01673,1.82495,0.01,0.01825,1.66725,0.56801,0.94701,1.88618,0.68161,1.28564,1.82008,0.71877,1.30821,1.81943,0.71877,1.30775,1.74601,0.73912,1.29051,1.81547,0.73912,1.34185
209,Matthews,CRY,GK,3.9,4.05908,0.002,0.00812,2.92626,0.002,0.00585,3.55361,0.002,0.00711,3.46984,0.002,0.00694,3.77575,0.002,0.00755,3.24026,0.002,0.00648,4.12323,0.002,0.00825,3.12745,0.002,0.00626
210,Mitchell,CRY,DEF,4.8,2.96002,0.94123,2.78607,2.81209,0.94123,2.64683,2.98619,0.94123,2.8107,3.00683,0.94123,2.83012,3.09461,0.94123,2.91275,2.93103,0.94123,2.75878,3.07071,0.94123,2.89025,2.83828,0.94123,2.67148
211,Muñoz,CRY,DEF,4.7,2.789,0.89286,2.49019,2.57504,0.89286,2.29915,2.77248,0.89286,2.47544,2.85458,0.89286,2.54874,2.94465,0.89286,2.62917,2.70818,0.89286,2.41803,2.91756,0.89286,2.60497,2.61151,0.89286,2.33171
212,Ozoh,CRY,MID,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Rak-Sakyi,CRY,MID,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,Schlupp,CRY,MID,4.7,1.56119,0.53683,0.83809,1.6919,0.53683,0.90826,1.53589,0.53683,0.8245,1.74868,0.53683,0.93874,1.68194,0.53683,0.90291,1.67835,0.53683,0.90098,1.61573,0.53683,0.86736,1.67894,0.53683,0.9013
215,Ward,CRY,DEF,4.3,2.38586,0.00812,0.01937,2.02955,0.00812,0.01647,2.33075,0.00812,0.01892,2.3428,0.00812,0.01902,2.46089,0.00812,0.01997,2.1747,0.00812,0.01765,2.4732,0.00812,0.02007,2.07527,0.00812,0.01684
216,Wharton,CRY,MID,4.7,0,0,0,0,0,0,0,0,0,2.66101,0.62411,1.66075,2.59477,0.74502,1.93316,2.69314,0.74502,2.00645,2.51345,0.77797,1.95539,2.686,0.7955,2.13673
217,A.Doucoure,EVE,MID,5.1,2.36176,0.92996,2.19634,2.6837,0.92996,2.49572,2.40092,0.92996,2.23275,2.61925,0.92996,2.43579,2.56416,0.92996,2.38456,2.46121,0.92996,2.28882,2.92482,0.92996,2.71996,2.54225,0.92996,2.36419
218,Beto,EVE,FWD,5,1.41923,0.60452,0.85796,1.77108,0.60452,1.07066,1.57816,0.60452,0.95403,1.64369,0.60452,0.99365,1.57627,0.60452,0.95289,1.62818,0.60452,0.98427,1.89608,0.60452,1.14622,1.72469,0.60452,1.04261
219,Branthwaite,EVE,DEF,4.8,2.84409,0.93783,2.66727,2.32324,0.93783,2.1788,2.47849,0.93783,2.3244,2.3298,0.93783,2.18496,2.4356,0.93783,2.28418,2.52118,0.93783,2.36444,2.38978,0.93783,2.24121,2.53254,0.93783,2.37509
220,Calvert-Lewin,EVE,FWD,5.5,2.3262,0.941,2.18895,2.82018,0.941,2.65379,2.52172,0.941,2.37294,2.67423,0.941,2.51645,2.59497,0.941,2.44186,2.5788,0.941,2.42664,2.97347,0.941,2.79802,2.69324,0.941,2.53433
221,Coleman,EVE,DEF,4.3,2.77763,0.35932,0.99806,2.30859,0.35932,0.82952,2.426,0.35932,0.87171,2.30395,0.35932,0.82785,2.398,0.35932,0.86165,2.47865,0.35932,0.89063,2.40056,0.35932,0.86257,2.49826,0.35932,0.89768
222,Gana,EVE,MID,4.8,2.17552,0.9385,2.04172,2.348,0.9385,2.20359,2.22091,0.9385,2.08432,2.25971,0.9385,2.12074,2.25403,0.9385,2.1154,2.26188,0.9385,2.12277,2.45963,0.9385,2.30836,2.34123,0.9385,2.19724
223,Garner,EVE,MID,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,Harrison,EVE,MID,5.2,2.12078,0.88516,1.87722,2.47939,0.88516,2.19465,2.16516,0.88516,1.91651,2.40774,0.88516,2.13122,2.35806,0.88516,2.08725,2.22052,0.88516,1.96551,2.70258,0.88516,2.39221,2.30139,0.88516,2.03709
225,Holgate,EVE,DEF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,Iroegbunam,EVE,MID,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,J.Virginia,EVE,GK,3.9,4.4061,0.002,0.00881,3.32548,0.002,0.00665,4.06112,0.002,0.00812,3.25879,0.002,0.00652,3.67882,0.002,0.00736,3.93413,0.002,0.00787,3.35669,0.002,0.00671,3.72301,0.002,0.00745
228,Keane,EVE,DEF,4.1,2.61664,0.24089,0.63031,2.09279,0.24089,0.50412,2.26039,0.24089,0.54449,2.09425,0.24089,0.50447,2.19848,0.24089,0.52958,2.30563,0.24089,0.55539,2.16189,0.24089,0.52077,2.32222,0.24089,0.55939
229,Maupay,EVE,FWD,4.9,1.71292,0,0.63204,1.39971,0,0.51647,1.83236,0,0.67611,1.78936,0,0.66025,1.75453,0,0.64739,1.77631,0,0.65543,1.69433,0,0.62518,1.95582,0,0.72167
230,McNeil,EVE,MID,5.3,3.19561,0.23822,0.76125,3.67388,0.49181,1.80683,3.29455,0.65318,2.15193,3.66337,0.74032,2.71208,3.50382,0.77705,2.72266,3.45563,0.77705,2.6852,4.19687,0.77705,3.26119,3.54753,0.77705,2.75662
